country,Gold,Silver,Bronze,N of medalists (raw),mean_gdp,mean_pop,N of medalists (per 10m)
Afghanistan,0.0,0.0,2.0,2.0,466.6,11971818.181818182,1.670590022021414
Albania,0.0,0.0,0.0,0.0,2638.108108108108,1832743.8016528925,0.0
Algeria,5.0,4.0,8.0,17.0,3469.4736842105262,15075785.123966942,11.276361304045128
Andorra,0.0,0.0,0.0,0.0,39755.31914893617,26754.710743801654,0.0
Angola,0.0,0.0,0.0,0.0,2848.6486486486488,7982148.760330578,0.0
Antigua,0.0,0.0,0.0,0.0,11225.25,52288.42975206611,0.0
Argentina,91.0,92.0,91.0,274.0,7792.982456140351,20852727.272727273,131.3976807045078
Armenia,2.0,5.0,9.0,16.0,2306.259259259259,1967578.5123966942,81.31822897633958
Australia,362.0,456.0,515.0,1333.0,35989.47368421053,11065785.123966942,1204.6140287984706
Austria,29.0,88.0,53.0,170.0,32152.63157894737,7177768.5950413225,236.84240826242646
Azerbaijan,7.0,12.0,25.0,44.0,3416.296296296296,4553223.1404958675,96.63484226957564
Bahamas,14.0,11.0,15.0,40.0,26350.877192982458,152819.8347107438,2617.4612788786017
Bahrain,1.0,1.0,1.0,3.0,20672.972972972973,325352.0661157025,92.2078054034282
Bangladesh,0.0,0.0,0.0,0.0,499.4736842105263,63958677.68595041,0.0
Barbados,0.0,0.0,1.0,1.0,14351.162790697674,221214.87603305784,45.204916501662495
Belarus,18.0,40.0,66.0,124.0,4111.481481481482,7815206.611570248,158.6650310900554
Belgium,96.0,193.0,166.0,455.0,30850.877192982458,8929752.066115702,509.53262378528467
Belize,0.0,0.0,0.0,0.0,2737.0175438596493,122046.28099173553,0.0
Benin,0.0,0.0,0.0,0.0,877.140350877193,3429586.776859504,0.0
Bhutan,0.0,0.0,0.0,0.0,1285.972972972973,355396.69421487604,0.0
Boliva,0.0,0.0,0.0,0.0,1562.982456140351,4586280.991735538,0.0
Bosnia and Herzegovina,0.0,0.0,0.0,0.0,3677.478260869565,3022148.7603305783,0.0
Botswana,0.0,1.0,0.0,1.0,3539.964912280702,733024.7933884298,13.642103364300532
Brazil,109.0,175.0,191.0,475.0,7769.298245614035,85590082.6446281,55.497083928778345
Brunei,0.0,0.0,0.0,0.0,40269.767441860466,135483.47107438016,0.0
Bulgaria,53.0,142.0,141.0,336.0,5157.2972972972975,6932314.049586777,484.6866394058249
Burkina Faso,0.0,0.0,0.0,0.0,433.7894736842105,6212644.628099173,0.0
Burundi,1.0,1.0,0.0,2.0,255.3684210526316,3563553.7190082646,5.612375055080127
Cambodia,0.0,0.0,0.0,0.0,627.7083333333334,6349669.421487603,0.0
Cameroon,20.0,1.0,1.0,22.0,1222.1754385964912,7585041.32231405,29.00445635711873
Canada,158.0,239.0,344.0,741.0,36178.72340425532,17971322.314049587,412.3235825672674
Cape Verde,0.0,0.0,0.0,0.0,1980.837837837838,257619.8347107438,0.0
Central African Republic,0.0,0.0,0.0,0.0,507.12280701754383,1922123.9669421487,0.0
Chad,0.0,0.0,0.0,0.0,621.8771929824561,4256115.702479339,0.0
Chile,3.0,9.0,20.0,32.0,7396.8421052631575,8684297.520661157,36.84811572135516
China,335.0,319.0,259.0,913.0,1560.1929824561403,775809917.355372,11.768346595932803
Colombia,5.0,9.0,14.0,28.0,4416.140350877193,19392148.76033058,14.43883313089987
Comoros,0.0,0.0,0.0,0.0,1342.162162162162,268740.4958677686,0.0
Costa Rica,1.0,1.0,2.0,4.0,5412.80701754386,1759768.5950413223,22.730261304078297
Croatia,54.0,48.0,36.0,138.0,12555.454545454546,3804958.6776859504,362.6846220677672
Cuba,164.0,129.0,116.0,409.0,3996.595744680851,6769090.909090909,604.2170292774643
Cyprus,0.0,1.0,0.0,1.0,22123.333333333332,574487.6033057851,17.406815991253435
Czech Republic,94.0,169.0,150.0,413.0,16759.25925925926,10107603.305785123,408.60329348661514
Democratic Republic of the Congo,0.0,0.0,0.0,0.0,682.438596491228,23002809.917355374,0.0
Denmark,179.0,236.0,177.0,592.0,43364.912280701756,4277107.438016529,1384.112998280293
Djibouti,0.0,0.0,1.0,1.0,1340.0,259405.78512396695,38.54964142461633
Dominica,0.0,0.0,0.0,0.0,5014.25,55019.8347107438,0.0
Dominican Republic,3.0,2.0,2.0,7.0,3221.0526315789475,3957958.6776859504,17.685884492590514
Ecuador,1.0,1.0,0.0,2.0,3632.1052631578946,5950000.0,3.361344537815126
Egypt,7.0,8.0,12.0,27.0,1505.719298245614,33861983.47107438,7.973543553071535
El Salvador,0.0,0.0,0.0,0.0,2630.0,3154082.644628099,0.0
Equatorial Guinea,0.0,0.0,0.0,0.0,7496.810810810811,318619.8347107438,0.0
Eritrea,0.0,0.0,1.0,1.0,574.7,1338578.5123966942,7.470611478810629
Estonia,9.0,10.0,24.0,43.0,12946.666666666666,1220462.8099173554,352.3253609252688
Ethiopia,22.0,9.0,22.0,53.0,255.27777777777777,34045454.54545455,15.567423230974633
Fiji,13.0,0.0,0.0,13.0,2920.3508771929824,433132.2314049587,300.13928905340686
Finland,132.0,125.0,217.0,474.0,30631.57894736842,4129752.0661157025,1147.768661196718
France,465.0,575.0,587.0,1627.0,29928.070175438595,47831404.95867769,340.1530859078029
Gabon,0.0,1.0,0.0,1.0,9960.877192982456,677396.694214876,14.762398584761788
Gambia,0.0,0.0,0.0,0.0,805.7450980392157,593173.5537190082,0.0
